Wilayah,Tanggal,Suhu_Rata2_C,Curah_Hujan_mm,Radiasi_Matahari_MJm2,Kecepatan_Angin_Max_kmh
Padang,2021-01-20,27.0,0.1,24.15,12.2
Padang,2021-01-21,26.6,0.0,23.1,8.7
Padang,2021-01-22,26.5,0.8,21.88,8.9
Padang,2021-01-23,26.8,0.0,21.15,6.9
Padang,2021-01-24,27.5,0.6,22.73,14.0
Padang,2021-01-25,26.2,0.7,17.58,10.8
Padang,2021-01-26,25.6,4.2,13.14,6.2
Padang,2021-01-27,25.6,3.8,17.48,8.0
Padang,2021-01-28,25.6,1.1,9.55,8.1
Padang,2021-01-29,26.2,10.8,19.42,12.6
Padang,2021-01-30,25.8,37.4,15.1,10.9
Padang,2021-01-31,26.8,0.1,17.7,7.9
Padang,2021-02-01,26.4,3.7,13.82,7.5
Padang,2021-02-02,26.4,5.7,14.32,7.9
Padang,2021-02-03,26.0,13.3,14.6,7.0
Padang,2021-02-04,26.8,1.4,17.84,8.8
Padang,2021-02-05,27.6,1.1,22.79,11.8
Padang,2021-02-06,27.9,0.0,24.89,17.2
Padang,2021-02-07,27.8,0.0,23.99,13.1
Padang,2021-02-08,27.6,0.0,23.37,7.7
Padang,2021-02-09,27.2,0.0,23.58,7.7
Padang,2021-02-10,27.2,0.4,24.06,10.2
Padang,2021-02-11,27.1,0.0,23.45,9.0
Padang,2021-02-12,27.1,0.0,21.39,7.9
Padang,2021-02-13,27.5,0.7,20.96,11.0
Padang,2021-02-14,27.3,0.3,20.2,10.5
Padang,2021-02-15,26.7,14.4,18.79,10.9
Padang,2021-02-16,25.9,10.4,15.86,9.9
Padang,2021-02-17,27.2,0.8,23.54,11.4
Padang,2021-02-18,26.6,25.2,19.59,12.4
Padang,2021-02-19,28.0,5.8,22.41,17.7
Padang,2021-02-20,27.3,2.6,19.15,9.5
Padang,2021-02-21,27.5,2.3,22.52,8.1
Padang,2021-02-22,27.0,3.3,20.1,9.7
Padang,2021-02-23,25.8,2.7,17.89,11.7
Padang,2021-02-24,26.3,1.8,21.28,8.9
Padang,2021-02-25,25.9,7.7,17.15,7.0
Padang,2021-02-26,25.9,16.2,18.06,11.0
Padang,2021-02-27,26.9,0.3,25.68,9.7
Padang,2021-02-28,26.9,3.0,22.13,9.1
Padang,2021-03-01,27.1,2.0,20.41,11.8
Padang,2021-03-02,26.3,53.1,14.31,9.5
Padang,2021-03-03,25.9,5.4,17.3,9.2
Padang,2021-03-04,28.0,0.9,24.79,9.4
Padang,2021-03-05,26.9,14.6,18.29,10.1
Padang,2021-03-06,25.5,170.7,13.53,7.7
Padang,2021-03-07,25.3,76.2,10.68,8.7
Padang,2021-03-08,26.5,0.2,17.16,7.6
Padang,2021-03-09,25.9,9.1,20.39,7.9
Padang,2021-03-10,26.3,5.8,23.48,12.0
Padang,2021-03-11,25.7,21.9,19.83,7.6
Padang,2021-03-12,25.0,45.2,9.96,9.0
Padang,2021-03-13,25.7,1.5,18.31,7.8
Padang,2021-03-14,25.6,1.5,17.2,8.4
Padang,2021-03-15,26.4,8.5,20.0,7.3
Padang,2021-03-16,25.4,19.4,14.73,10.0
Padang,2021-03-17,26.2,1.2,18.71,9.6
Padang,2021-03-18,25.9,7.8,16.06,7.4
Padang,2021-03-19,25.7,4.5,17.41,7.6
Padang,2021-03-20,25.7,12.5,14.37,6.5
Padang,2021-03-21,25.6,10.0,17.1,7.2
Padang,2021-03-22,25.8,18.2,18.15,8.3
Padang,2021-03-23,25.9,21.4,17.79,8.0
Padang,2021-03-24,25.8,1.6,10.54,5.2
Padang,2021-03-25,26.7,3.2,13.6,9.2
Padang,2021-03-26,26.0,16.9,15.66,7.6
Padang,2021-03-27,25.9,9.9,12.77,8.1
Padang,2021-03-28,26.1,10.5,17.24,9.3
Padang,2021-03-29,25.4,51.8,11.79,7.3
Padang,2021-03-30,25.6,11.3,15.75,7.0
Padang,2021-03-31,25.2,27.7,8.56,10.4
Padang,2021-04-01,25.9,5.2,11.08,5.9
Padang,2021-04-02,26.4,29.5,18.89,17.3
Padang,2021-04-03,25.8,27.4,13.64,13.5
Padang,2021-04-04,25.9,23.8,9.17,12.9
Padang,2021-04-05,26.3,8.2,19.47,7.2
Padang,2021-04-06,26.7,1.5,19.5,8.8
Padang,2021-04-07,26.3,4.6,18.18,7.4
Padang,2021-04-08,26.3,3.6,22.47,9.0
Padang,2021-04-09,26.0,8.9,18.69,10.2
Padang,2021-04-10,26.1,1.7,19.17,10.6
Padang,2021-04-11,25.8,12.6,15.94,7.9
Padang,2021-04-12,26.2,1.9,19.89,8.8
Padang,2021-04-13,26.1,1.2,20.73,7.0
Padang,2021-04-14,26.5,3.8,19.0,9.7
Padang,2021-04-15,26.1,5.0,13.81,7.2
Padang,2021-04-16,26.3,2.6,17.79,7.3
Padang,2021-04-17,25.3,20.4,7.95,7.3
Padang,2021-04-18,26.2,0.5,22.17,6.4
Padang,2021-04-19,26.0,1.6,20.41,9.0
Padang,2021-04-20,26.4,1.5,15.9,6.6
Padang,2021-04-21,26.5,6.2,19.56,7.6
Padang,2021-04-22,25.5,9.7,11.22,7.2
Padang,2021-04-23,26.1,4.9,19.22,7.6
Padang,2021-04-24,26.0,0.4,16.15,7.9
Padang,2021-04-25,26.4,1.0,20.2,7.8
Padang,2021-04-26,26.4,6.9,17.53,6.8
Padang,2021-04-27,26.4,9.7,19.43,8.8
Padang,2021-04-28,26.3,16.2,17.31,8.5
Padang,2021-04-29,25.6,23.9,13.01,10.5
Padang,2021-04-30,26.1,1.3,14.58,7.7
Padang,2021-05-01,26.8,9.3,18.83,10.2
Padang,2021-05-02,26.7,16.4,17.42,9.4
Padang,2021-05-03,27.3,13.9,20.39,7.6
Padang,2021-05-04,25.9,24.9,14.64,8.8
Padang,2021-05-05,25.8,15.7,14.72,6.6
Padang,2021-05-06,26.1,20.9,13.3,5.5
Padang,2021-05-07,26.7,17.2,16.26,6.8
Padang,2021-05-08,26.3,5.0,15.66,7.3
Padang,2021-05-09,26.4,0.8,17.57,8.4
Padang,2021-05-10,27.0,3.2,17.42,7.7
Padang,2021-05-11,26.5,16.6,12.9,8.8
Padang,2021-05-12,26.1,21.1,9.15,8.4
Padang,2021-05-13,26.6,9.8,18.43,7.9
Padang,2021-05-14,26.1,9.8,14.17,4.9
Padang,2021-05-15,26.4,2.5,15.53,7.4
Padang,2021-05-16,26.4,23.0,17.25,8.0
